date,open,high,low,close,volume,Name
2017-08-08,56.52,56.96,55.4725,55.73,1594834,TSCO
2017-08-08,66.61,66.865,65.01,65.02,6011536,TSN
2017-08-08,64.1,64.34,63.83,64.03,671695,TSS
2017-08-08,102.39,102.47,102.05,102.17,3485774,TWX
2017-08-08,81.99,83.69,81.89,82.45,7184617,TXN
2017-08-08,49.3,49.49,48.91,49.06,1047286,TXT
2017-08-08,38.56,38.745,38.27,38.36,15435797,T
2017-08-08,18.6,19.32,18.51,19.25,4837678,UAA
2017-08-08,68.15,68.72,67.53,67.79,2640688,UAL
2017-08-08,16.71,17.29,16.709,17.21,4376608,UA
2017-08-08,38.55,38.76,38.4,38.65,1885175,UDR
2017-08-08,106.83,108.46,105.91,107.36,673325,UHS
2017-08-08,248.89,252.87,247.23,250.64,537119,ULTA
2017-08-08,194.68,194.99,194.08,194.9,1741007,UNH
2017-08-08,50.46,51.43,50.46,50.75,881870,UNM
2017-08-08,102.2,104.32,101.9,103.06,3282402,UNP
2017-08-08,113.0,113.2,111.8,111.89,2809476,UPS
2017-08-08,117.4,119.419,116.88,117.38,848730,URI
2017-08-08,53.0,53.645,52.9,53.19,3678102,USB
2017-08-08,118.45,118.99,118.01,118.19,2766894,UTX
2017-08-08,96.41,96.865,95.74,95.88,597426,VAR
2017-08-08,63.53,63.96,62.55,62.61,3491281,VFC
2017-08-08,30.75,31.25,30.68,30.77,5199033,VIAB
2017-08-08,67.67,67.94,67.35,67.79,3114863,VLO
2017-08-08,120.55,120.55,118.24,118.39,1135026,VMC
2017-08-08,79.08,79.4,78.17,78.5,1117562,VNO
2017-08-08,82.33,82.75,81.86,81.89,597378,VRSK
2017-08-08,99.28,99.51,98.36,98.73,634794,VRSN
2017-08-08,156.12,156.5483,152.8975,153.26,893487,VRTX
2017-08-08,65.46,65.74,65.15,65.46,1270703,VTR
2017-08-08,48.75,48.95,48.43,48.6,10901236,VZ
2017-08-08,101.5,101.715,100.93,101.28,6283690,V
2017-08-08,177.38,179.74,176.49,176.64,376732,WAT
2017-08-08,81.09,81.9298,81.0,81.08,4036340,WBA
2017-08-08,80.79,82.74,80.6653,81.34,3590592,WDC
2017-08-08,64.15,64.76,64.1,64.73,986039,WEC
2017-08-08,52.32,53.3,52.22,52.71,24877808,WFC
2017-08-08,178.06,179.38,177.2,178.54,751141,WHR
2017-08-08,149.44,149.805,149.07,149.66,860364,WLTW
2017-08-08,30.91,31.11,30.39,30.49,5710441,WMB
2017-08-08,81.17,81.86,80.9,81.59,7381407,WMT
2017-08-08,75.27,75.54,75.17,75.34,1325309,WM
2017-08-08,56.82,57.41,56.46,56.56,1329846,WRK
2017-08-08,19.33,19.56,19.29,19.3,2898664,WU
2017-08-08,130.65,131.69,129.39,130.07,1791698,WYNN
2017-08-08,103.03,103.03,100.78,100.87,1025510,WYN
2017-08-08,32.63,32.72,32.35,32.46,1870234,WY
2017-08-08,91.94,95.44,91.94,93.86,1453707,XEC
2017-08-08,48.07,48.45,48.07,48.44,1632913,XEL
2017-08-08,63.45,64.1,63.1,63.16,1512402,XLNX
2017-08-08,44.37,44.7,44.25,44.28,962495,XL
2017-08-08,80.02,80.215,79.83,79.96,9028396,XOM
2017-08-08,62.0,62.32,61.13,61.41,2044255,XRAY
2017-08-08,32.44,32.65,32.24,32.31,2395344,XRX
2017-08-08,59.74,60.25,59.66,59.84,908624,XYL
2017-08-08,74.71,74.87,74.15,74.2,1409739,YUM
2017-08-08,117.08,117.08,114.57,115.04,1551015,ZBH
2017-08-08,45.59,46.46,45.42,45.81,2354833,ZION
2017-08-08,60.49,61.0,59.5,60.0,4663668,ZTS
